ds,all_day_bing_tiles_visited_relative_change
2022-01-16,-0.27373555555555557
2022-01-17,-0.16215888888888888
2022-01-18,-0.14629999999999999
2022-01-19,-0.14650666666666667
2022-01-20,-0.16951666666666665
2022-01-21,-0.1824
2022-01-22,-0.22780333333333333
2022-01-23,-0.3139338888888889
2022-01-24,-0.21095833333333333
2022-01-25,-0.20432277777777777
2022-01-26,-0.2087488888888889
2022-01-27,-0.25590833333333335
2022-01-28,-0.25153333333333333
2022-01-29,-0.2547772222222222
2022-01-30,-0.3150705555555555
2022-01-31,-0.2458927777777778
2022-02-01,-0.21879388888888887
2022-02-02,-0.2136311111111111
2022-02-03,-0.21137277777777777
2022-02-04,-0.2269
2022-02-05,-0.23785222222222224
2022-02-06,-0.29662499999999997
2022-02-07,-0.21327833333333335
2022-02-08,-0.19874777777777777
2022-02-09,-0.20064166666666666
2022-02-10,-0.20244222222222222
2022-02-11,-0.21867555555555557
2022-02-12,-0.22492944444444443
2022-02-13,-0.29079
2022-02-14,-0.2188938888888889
2022-02-15,-0.2008588888888889
2022-02-16,-0.20622055555555555
2022-02-17,-0.20054166666666667
2022-02-18,-0.21415388888888887
2022-02-19,-0.24175
2022-02-20,-0.28679055555555555
2022-02-21,-0.20737055555555556
2022-02-22,-0.18390277777777778
2022-02-23,-0.1893
2022-02-24,-0.19558444444444445
2022-02-25,-0.21443833333333334
2022-02-26,-0.23241944444444446
2022-02-27,-0.2698466666666667
2022-02-28,-0.20228388888888887
2022-03-01,-0.20241499999999998
2022-03-02,-0.19244611111111112
2022-03-03,-0.20847166666666667
2022-03-04,-0.22350277777777774
2022-03-05,-0.22104000000000001
2022-03-06,-0.3024044444444444
2022-03-07,-0.21722666666666665
2022-03-08,-0.1992538888888889
2022-03-09,-0.20144333333333334
2022-03-10,-0.20355833333333334
2022-03-11,-0.2207438888888889
2022-03-12,-0.23759888888888886
2022-03-13,-0.3000588888888889
2022-03-14,-0.264895
2022-03-15,-0.24404777777777775
2022-03-16,-0.25137611111111113
2022-03-17,-0.26202888888888887
2022-03-18,-0.24643
2022-03-19,-0.24355333333333334
2022-03-20,-0.30334555555555553
2022-03-21,-0.25379555555555555
2022-03-22,-0.24291722222222223
2022-03-23,-0.24736499999999997
2022-03-24,-0.24536277777777776
2022-03-25,-0.24959777777777775
2022-03-26,-0.25150222222222224
2022-03-27,-0.2938938888888889
2022-03-28,-0.22222666666666666
